datetime,WIKI/AAPL,WIKI/GOOG,WIKI/MSFT,cash,commission,total,returns,equity_curve,drawdown
2016-11-02,11159.0,76870.0,5943.0,3997.0,0.0,97969.0,-0.0152582749505,0.97969,0.05204
2016-11-03,10983.0,76213.0,5921.0,3997.0,0.0,97114.0,-0.00872725045678,0.97114,0.06059
2016-11-04,10884.0,76202.0,5871.0,3997.0,0.0,96954.0,-0.00164754824227,0.96954,0.06219
2016-11-07,11041.0,78252.0,6042.0,3997.0,0.0,99332.0,0.0245270953236,0.99332,0.03841
2016-11-08,11106.0,79051.0,6047.0,3997.0,0.0,100201.0,0.00874843957637,1.00201,0.02972
2016-11-09,11088.0,78531.0,6017.0,3997.0,0.0,99633.0,-0.00566860610174,0.99633,0.0354
2016-11-10,10779.0,76256.0,5870.0,3997.0,0.0,96902.0,-0.0274105968906,0.96902,0.06271
2016-11-11,10843.0,75402.0,5902.0,3997.0,0.0,96144.0,-0.0078223359683,0.96144,0.07029
2016-11-14,10571.0,73608.0,5812.0,3997.0,0.0,93988.0,-0.0224246962889,0.93988,0.09185
2016-11-15,10711.0,75849.0,5887.0,3997.0,0.0,96444.0,0.0261309954462,0.96444,0.06729
2016-11-16,10999.0,76448.0,5965.0,3997.0,0.0,97409.0,0.0100058064784,0.97409,0.05764
2016-11-17,10995.0,77123.0,6064.0,3997.0,0.0,98179.0,0.00790481372358,0.98179,0.04994
2016-11-18,11006.0,76054.0,6035.0,3997.0,0.0,97092.0,-0.0110716140926,0.97092,0.06081
2016-11-21,11173.0,76920.0,6086.0,3997.0,0.0,98176.0,0.0111646685618,0.98176,0.04997
2016-11-22,11180.0,76827.0,6112.0,3997.0,0.0,98116.0,-0.000611147327249,0.98116,0.05057
2016-11-23,11123.0,76099.0,6040.0,3997.0,0.0,97259.0,-0.00873455909332,0.97259,0.05914
2016-11-25,11179.0,76168.0,6053.0,3997.0,0.0,97397.0,0.00141889182492,0.97397,0.05776
2016-11-28,11157.0,76824.0,6061.0,3997.0,0.0,98039.0,0.00659157879606,0.98039,0.05134
2016-11-29,11146.0,77084.0,6109.0,3997.0,0.0,98336.0,0.00302940666469,0.98336,0.04837
2016-11-30,11052.0,75804.0,6026.0,3997.0,0.0,96879.0,-0.0148165473479,0.96879,0.06294
2016-12-01,10949.0,74792.0,5920.0,3997.0,0.0,95658.0,-0.0126033505713,0.95658,0.07515
2016-12-02,10990.0,75050.0,5925.0,3997.0,0.0,95962.0,0.00317798824981,0.95962,0.07211
2016-12-05,10911.0,76252.0,6022.0,3997.0,0.0,97182.0,0.0127133657073,0.97182,0.05991
2016-12-06,10995.0,75911.0,5995.0,3997.0,0.0,96898.0,-0.00292235187586,0.96898,0.06275
2016-12-07,11103.0,77119.0,6137.0,3997.0,0.0,98356.0,0.0150467501909,0.98356,0.04817
2016-12-08,11212.0,77642.0,6101.0,3997.0,0.0,98952.0,0.00605962015535,0.98952,0.04221
2016-12-09,11395.0,78929.0,6197.0,3997.0,0.0,100518.0,0.01582585496,1.00518,0.02655
2016-12-12,11330.0,78927.0,6217.0,3997.0,0.0,100471.0,-0.000467577946239,1.00471,0.02702
2016-12-13,11519.0,79610.0,6298.0,3997.0,0.0,101424.0,0.00948532412338,1.01424,0.01749
2016-12-14,11519.0,79707.0,6268.0,3997.0,0.0,101491.0,0.000660593153494,1.01491,0.01682
2016-12-15,11582.0,79785.0,6258.0,3997.0,0.0,101622.0,0.00129075484526,1.01622,0.01551
2016-12-16,11597.0,79080.0,6230.0,3997.0,0.0,100904.0,-0.00706539922458,1.00904,0.02269
2016-12-19,11664.0,79420.0,6362.0,3997.0,0.0,101443.0,0.00534171093316,1.01443,0.0173
2016-12-20,11695.0,79642.0,6354.0,3997.0,0.0,101688.0,0.00241514939424,1.01688,0.01485
2016-12-21,11706.0,79456.0,6354.0,3997.0,0.0,101513.0,-0.00172095035796,1.01513,0.0166
2016-12-22,11629.0,79126.0,6355.0,3997.0,0.0,101107.0,-0.00399948775034,1.01107,0.02066
2016-12-23,11652.0,78991.0,6324.0,3997.0,0.0,100964.0,-0.00141434322055,1.00964,0.02209
2016-12-27,11726.0,79155.0,6328.0,3997.0,0.0,101206.0,0.0023968939424,1.01206,0.01967
2016-12-28,11676.0,78505.0,6299.0,3997.0,0.0,100477.0,-0.00720313024919,1.00477,0.02696
2016-12-29,11673.0,78279.0,6290.0,3997.0,0.0,100239.0,-0.00236870129482,1.00239,0.02934
2016-12-30,11582.0,77182.0,6214.0,3997.0,0.0,98975.0,-0.0126098624288,0.98975,0.04198
2017-01-03,11615.0,78614.0,6258.0,3997.0,0.0,100484.0,0.0152462743117,1.00484,0.02689
2017-01-04,11602.0,78690.0,6230.0,3997.0,0.0,100519.0,0.000348314159468,1.00519,0.02654
2017-01-05,11661.0,79402.0,6230.0,3997.0,0.0,101290.0,0.00767019170505,1.0129,0.01883
2017-01-06,11791.0,80615.0,6284.0,3997.0,0.0,102687.0,0.0137920821404,1.02687,0.00486
2017-01-09,11899.0,80665.0,6264.0,3997.0,0.0,102825.0,0.00134388968419,1.02825,0.00348
2017-01-10,11911.0,80479.0,6262.0,3997.0,0.0,102649.0,-0.00171164600049,1.02649,0.00524
2017-01-11,11975.0,80791.0,6319.0,3997.0,0.0,103082.0,0.00421825833666,1.03082,0.00091
2017-01-12,11925.0,80636.0,6261.0,3997.0,0.0,102819.0,-0.00255136687297,1.02819,0.00354
2017-01-13,11904.0,80788.0,6270.0,3997.0,0.0,102959.0,0.00136161604373,1.02959,0.00214
2017-01-17,12000.0,80461.0,6253.0,3997.0,0.0,102711.0,-0.00240872580348,1.02711,0.00462
2017-01-18,11999.0,80607.0,6250.0,3997.0,0.0,102853.0,0.00138251988589,1.02853,0.0032
2017-01-19,11978.0,80217.5,6230.0,3997.0,0.0,102422.5,-0.00418558525274,1.024225,0.007505
2017-01-20,12000.0,80502.0,6274.0,3997.0,0.0,102773.0,0.00342209963631,1.02773,0.004
2017-01-23,12008.0,81931.0,6296.0,3997.0,0.0,104232.0,0.0141963356134,1.04232,0.0
2017-01-24,11997.0,82387.0,6352.0,3997.0,0.0,104733.0,0.00480658530969,1.04733,0.0
2017-01-25,12188.0,83567.0,6368.0,3997.0,0.0,106120.0,0.0132431993736,1.0612,0.0
2017-01-26,12194.0,83215.0,6427.0,3997.0,0.0,105833.0,-0.00270448548813,1.05833,0.00287
2017-01-27,12195.0,82331.0,6578.0,3997.0,0.0,105101.0,-0.0069165572175,1.05101,0.01019
2017-01-30,12163.0,80232.0,6513.0,3997.0,0.0,102905.0,-0.0208941874958,1.02905,0.03215
2017-01-31,12135.0,79679.0,6465.0,3997.0,0.0,102276.0,-0.00611243379816,1.02276,0.03844
2017-02-01,12875.0,79569.5,6358.0,3997.0,0.0,102799.5,0.00511850287457,1.027995,0.033205
2017-02-02,12853.0,79853.0,6317.0,3997.0,0.0,103020.0,0.00214495206689,1.0302,0.031
2017-02-03,12908.0,80149.0,6368.0,3997.0,0.0,103422.0,0.00390215492137,1.03422,0.02698
2017-02-06,13029.0,80134.0,6364.0,3997.0,0.0,103524.0,0.000986250507629,1.03524,0.02596
2017-02-07,13153.0,80697.0,6343.0,3997.0,0.0,104190.0,0.00643329083111,1.0419,0.0193
2017-02-08,13204.0,80838.0,6334.0,3997.0,0.0,104373.0,0.00175640656493,1.04373,0.01747
